,T,S/K,Date,DateStep,B Reward,A Reward,A PnL,B PnL,P0,P-1,S0,S-1,A Pos,B Pos,A TC,B TC,A PnL - TC,B PnL - TC,Expiry,v,episode,cr1,cr2,ticker
0,30.0,1.0,2026-04-25,0,-2.5065664243356967,1.9562989111841742,5.6732668424341055,-0.6209580544721822,78.48498245653718,72.7866045637943,2908.609808349513,2900.0,-0.002181708812713623,-0.5490391981620106,-0.006326955556869507,-1.592213674669831,5.679593797990975,0.9712556201976488,2026-05-25,0.19850820694657054,0,0,0,NSE-SIM
1,30.0,1.0029688994308665,2026-04-25,0,0.8272233695002231,3.9703353780920274,11.51397259646688,2.398947771550647,90.0354087908388,78.48498245653718,2924.5834978594503,2908.609808349513,-0.0022666454315185547,-0.5692325483519869,-0.0002470474825440679,-0.05873457642600144,11.514219643949424,2.4576823479766485,2026-05-25,0.20519200924931547,0,0,0,NSE-SIM
2,30.0,1.0084770682273967,2026-04-25,0,0.9337437864168298,-3588.829815232793,-24.540127292644236,2.707856980608806,65.38012653164037,90.0354087908388,2879.1122392959664,2924.5834978594503,-0.002550750970840454,-0.6040042161418048,-0.0008308903719512862,-0.10169264581115238,-24.539296402272285,2.8095496264199586,2026-05-25,0.2065311042685898,0,0,0,NSE-SIM
3,30.0,0.9927973238951608,2026-04-25,0,0.23839676368423765,9.213373950612112,26.718784456775126,0.6913506146842892,92.22196370483971,65.38012653164037,2930.9022065141285,2879.1122392959664,-0.002365708351135254,-0.4991016950691784,-0.0005327584711846308,-0.3020261323532017,26.71931721524631,0.9933767470374908,2026-05-25,0.19996119866495654,0,0,0,NSE-SIM
4,30.0,1.0106559332807339,2026-04-25,0,1.2035318887581707,-1052.981474483843,-13.279355458439724,3.490242477398695,78.87676907683044,92.22196370483971,2903.1961012954857,2930.9022065141285,-0.0023775994777679443,-0.6204840718572179,-3.48517292856913e-05,-0.35575987595999425,-13.279320606710439,3.8460023533586893,2026-05-25,0.20896520907006366,0,0,0,NSE-SIM
5,30.0,1.001102103894995,2026-04-25,0,-21.858981740678594,3.021642219858074,8.762762437588414,-1.8886865564481958,87.68803945097352,78.87676907683044,2922.141740527387,2903.1961012954857,-0.002536088228225708,-0.5546892028735205,-0.00046012392242817264,-0.19101540711871745,8.763222561510842,-1.6976711493294783,2026-05-25,0.20247723948121776,0,0,0,NSE-SIM
6,30.0,1.0076350829404783,2026-04-25,0,-31.1151306216021,6.885619223677342,19.96829574866429,-2.2588824206137588,107.74717974197506,87.68803945097352,2959.150127857121,2922.141740527387,-0.0024477243423461914,-0.5995137991342219,-0.0002582117992837341,-0.1309838237356832,19.968553960463574,-2.1278985968780755,2026-05-25,0.1903730530879355,0,0,0,NSE-SIM
7,30.0,1.0203965958128003,2026-04-25,0,0.9451050273936163,14.37720455664962,41.6938932142839,2.7408045794414875,149.55778327982125,107.74717974197506,3015.4068344277694,2959.150127857121,-0.002053886651992798,-0.6897451556213929,-0.0011654248517641976,-0.26700813008573376,41.69505863913566,3.0078127095272214,2026-05-25,0.18950534009436146,0,0,0,NSE-SIM
8,30.0,1.0397954601475066,2026-04-25,0,0.010873058430645895,-5196.242152277528,-29.534639339788335,0.031531869448873096,119.94991519959194,149.55778327982125,2977.9680305575316,3015.4068344277694,-0.0019632577896118164,-0.8006048230723528,-0.00027328289102002525,-0.33428699889401414,-29.534366056897316,0.36581886834288724,2026-05-25,0.18626936739934974,0,0,0,NSE-SIM
9,30.0,1.0268855277784592,2026-04-25,0,0.550238629623847,-58.212832333742774,-3.1002554064082934,1.5956920259091563,116.83689451642681,119.94991519959194,2971.2765929447683,2977.9680305575316,-0.0019248127937316895,-0.7335392203959618,-0.00011448796866593409,-0.1997192207203662,-3.1001409184396276,1.7954112466295225,2026-05-25,0.19687011208986727,0,0,0,NSE-SIM
10,29.0,1.024578135498196,2026-04-26,0,0.43536961012688774,11.705194036537973,33.94506270596012,1.2625718693679744,150.87355357184697,116.83689451642681,3017.2356579932,2971.2765929447683,-0.0019888579845428467,-0.7117030293885114,-0.00019029597634787282,-0.06488136321950834,33.945253001936464,1.3274532325874828,2026-05-25,0.19381675673345683,0,0,0,NSE-SIM
11,29.0,1.0404260889631725,2026-04-26,0,-0.2578671073555428,6.920849161604825,20.070462568653994,-0.18127184180769973,171.00311532165688,150.87355357184697,3042.2360543109394,3017.2356579932,-0.002323538064956665,-0.8015741433552529,-0.0010098086726446046,-0.27116232968402326,20.07147237732664,0.08989048787632353,2026-05-25,0.19181414801709634,0,0,0,NSE-SIM
