,T,S/K,Date,DateStep,B Reward,A Reward,A PnL,B PnL,P0,P-1,S0,S-1,A Pos,B Pos,A TC,B TC,A PnL - TC,B PnL - TC,Expiry,v,episode,cr1,cr2,ticker
0,30.0,1.0,2026-05-03,0,-0.3987547507347499,-0.19488886709557784,1.0474562051893663,4.744379843762751,69.89777181785826,97.4007191579501,2837.6983241834105,2900.0,-0.4806329645216465,-0.5428689803873962,-1.393835597112775,-1.574320043123449,2.4412918023021413,6.3186998868862,2026-06-02,0.2794474214010933,0,0,0,NSE-V2-SIM
1,30.0,0.9785166635115209,2026-05-03,0,-0.6405995871665464,-0.2763983837347758,-3.787858044017465,-5.965761447116456,89.34811621418544,69.89777181785826,2895.456139629072,2837.6983241834105,-0.39829323440790176,-0.43473336727845313,-0.23365531415748775,-0.3068562481037933,-3.5542027298599774,-5.658905199012663,2026-06-02,0.2535244997427926,0,0,0,NSE-V2-SIM
2,30.0,0.9984331515962317,2026-05-03,0,0.005910359233706033,-0.013866254459710941,0.6306366825878464,0.579890764292537,89.79012014173873,89.34811621418544,2894.655094583294,2895.456139629072,-0.4605627991259098,-0.5351693198815429,-0.18029879347478622,-0.2908078956041108,0.8109354760626326,0.8706986598966479,2026-06-02,0.2561619934170781,0,0,0,NSE-V2-SIM
3,30.0,0.9981569291666531,2026-05-03,0,-1.027428969954453,-0.22716023541031077,6.376811651044132,10.857926008324178,66.02295800960337,89.79012014173873,2829.758204206101,2894.655094583294,-0.46467362344264984,-0.5336095893223082,-0.011899418551388435,-0.004514882009466122,6.388711069595521,10.862440890333644,2026-06-02,0.27794224969524833,0,0,0,NSE-V2-SIM
4,30.0,0.975778691105552,2026-05-03,0,-0.14138994330524443,0.05978053970797399,3.360797103264492,5.043868167830787,49.019047215664386,66.02295800960337,2776.5538942624817,2829.758204206101,-0.38690073043107986,-0.42041861056472185,-0.22007848206433347,-0.3203031007813984,3.580875585328825,5.364171268612186,2026-06-02,0.29358952382446046,0,0,0,NSE-V2-SIM
5,29.0,0.9574323773318902,2026-05-04,0,-0.36892262584055785,-0.024361006087805403,6.414084285415089,7.154164018531081,50.841062426672806,49.019047215664386,2760.019024120875,2776.5538942624817,-0.2934180200099945,-0.33656056258898825,-0.2595597836658764,-0.23283638967227313,6.673644069080965,7.387000408203354,2026-06-02,0.31939694154149584,0,0,0,NSE-V2-SIM
6,29.0,0.9517306979727156,2026-05-04,0,-0.04411239997436401,-0.23324230296992285,-1.7701251663172046,-0.9594132753538416,42.2614662214379,50.841062426672806,2736.6657597302633,2760.019024120875,-0.291779100894928,-0.3273849691598799,-0.004523447936578968,-0.02532481242193752,-1.7656017183806256,-0.9340884629319041,2026-06-02,0.3143957649442879,0,0,0,NSE-V2-SIM
7,29.0,0.9436778481828494,2026-05-04,0,-0.16205983563950999,-0.05449779937485273,-0.2915815709226983,-2.501971505185896,61.40891711388349,42.2614662214379,2810.8126222742612,2736.6657597302633,-0.2610345780849457,-0.29062346971229014,-0.08413748287332462,-0.10060393681456192,-0.2074440880493737,-2.401367568371334,2026-06-02,0.29330541394547227,0,0,0,NSE-V2-SIM
8,29.0,0.9692457318187108,2026-05-04,0,-0.13797771378976406,0.02894023543545065,5.212308640071923,5.033514181935222,67.31724095049049,61.40891711388349,2812.3170171203747,2810.8126222742612,-0.33132462203502655,-0.3920316193511544,-0.1975721427550999,-0.2850393070063967,5.409880782827023,5.318553488941618,2026-06-02,0.31068428067012793,0,0,0,NSE-V2-SIM
9,29.0,0.9697644886621981,2026-05-04,0,-0.4286895158699282,-0.9405351396253474,-6.306379104104785,-4.726301927592958,49.386584325705485,67.31724095049049,2779.4106447643476,2812.3170171203747,-0.3553023189306259,-0.4021338223298816,-0.06743288501084849,-0.028410597347478684,-6.238946219093936,-4.697891330245479,2026-06-02,0.2914989815819072,0,0,0,NSE-V2-SIM
